span_K,VaporCompression_COP,LiquidCooling_COP,AMR_1stage_COP,AMR_1stage_Qc_W,AMR_2stage_COP,AMR_2stage_Qc_W,AMR_3stage_COP,AMR_3stage_Qc_W,AMR_4stage_COP,AMR_4stage_Qc_W
5,24.46,24.78,,,,,,,,
6,20.38,23.15,,,,,,,,
7,17.47,21.99,,,,,,,,
8,15.29,21.11,,,,,,,,
9,13.59,20.43,,,,,,,,
10,12.23,19.89,,,,,,,,
11,11.12,19.45,,,,,,,,
12,10.19,19.08,,,,,,,,
13,9.41,18.76,,,,,,,,
14,8.73,18.49,,,,,,,,
15,8.15,18.26,,,,,,,,
16,7.64,18.06,,,,,,,,
17,7.19,17.88,,,,,,,,
18,6.79,17.72,,,,,,,,
19,6.44,17.57,,,,,,,,
20,6.11,17.45,,,,,,,,
